TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,2981,6214,8464,11296,46171
2,2520,5010,6520,8671,31704
3,2134,3964,4989,6677,21770
4,1810,3102,3917,5212,14947
5,1539,2479,3063,4023,10264
6,1311,1988,2384,3049,6983
7,1125,1599,1874,2328,4705
8,977,1263,1467,1763,3199
9,795,987,1147,1386,2271
10,616,777,901,1062,1572
11,535,795,945,1144,2078
12,466,681,803,965,1659
13,415,592,694,827,1355
14,375,524,610,721,1130
15,342,471,545,638,966
16,318,430,494,574,845
17,298,398,455,526,756
18,282,374,426,490,690
19,269,356,404,464,642
20,260,344,390,447,612
21,254,338,382,436,600
22,253,336,379,433,602
23,254,339,382,436,616
24,260,347,391,445,641
25,272,362,407,463,678
26,287,384,431,487,727
27,305,409,458,517,787
28,325,435,487,550,857
29,347,462,517,584,931
30,370,491,547,617,1013
31,395,520,577,650,1101
32,417,548,608,684,1193
33,436,577,640,719,1290
34,453,606,672,754,1396
35,470,635,705,791,1505
36,487,664,738,830,1619
37,503,693,772,867,1739
38,520,723,805,904,1867
39,538,753,839,941,2007
40,557,784,872,977,2143
41,575,816,907,1013,2267
42,594,847,941,1049,2380
43,614,879,975,1086,2490
44,633,910,1008,1123,2595
45,652,942,1042,1161,2698
46,671,974,1074,1199,2798
47,691,1004,1107,1239,2892
48,711,1035,1140,1278,2982
49,732,1066,1173,1318,3067
50,753,1098,1205,1358,3145
51,774,1129,1237,1397,3215
52,796,1159,1269,1434,3273
53,817,1189,1299,1472,3322
54,837,1218,1327,1508,3362
55,854,1246,1354,1541,3392
56,869,1273,1381,1572,3411
57,885,1300,1406,1600,3420
58,900,1325,1430,1627,3423
59,915,1347,1454,1652,3422
60,929,1368,1476,1678,3420
61,942,1388,1496,1701,3417
62,955,1408,1515,1722,3412
63,967,1426,1531,1741,3407
64,978,1442,1546,1756,3397
65,990,1454,1558,1765,3383
66,1001,1466,1569,1772,3364
67,1011,1476,1577,1774,3340
68,1021,1482,1583,1776,3311
69,1029,1488,1588,1776,3276
70,1036,1492,1591,1777,3236
71,1043,1495,1594,1777,3193
72,1050,1497,1595,1772,3150
73,1057,1498,1596,1767,3106
74,1064,1498,1595,1761,3063
75,1070,1497,1593,1754,3021
76,1077,1494,1589,1747,2979
77,1083,1490,1583,1737,2939
78,1089,1484,1576,1728,2901
79,1095,1477,1566,1717,2862
80,1100,1468,1555,1704,2823
81,1104,1459,1544,1690,2782
82,1107,1450,1533,1677,2739
83,1109,1440,1522,1663,2696
84,1112,1432,1512,1650,2651
85,1116,1425,1503,1639,2606
86,1119,1418,1495,1629,2561
87,1117,1411,1486,1619,2518
88,1111,1404,1478,1608,2478
89,1106,1398,1470,1596,2440
90,1104,1391,1461,1580,2404
91,1104,1384,1452,1566,2370
92,1104,1378,1443,1553,2339
93,1099,1371,1434,1541,2311
94,1093,1365,1425,1529,2290
95,1091,1358,1418,1518,2268
96,1091,1353,1410,1508,2247
97,1091,1349,1404,1500,2227
98,1091,1346,1399,1492,2209
99,1088,1345,1396,1484,2193
100,1086,1345,1393,1478,2183
